_id,ประเภท,พื้นที่ป่าอนุรักษ์,ครอบคลุมพื้นที่,จำนวน (ตัว)
35,เขตรักษาพันธุ์สัตว์ป่า,ห้วยทับทัน - ห้วยสำราญ,อำเภอกาบเชิง อำเภอสังขะ อำเภอบัวเชด จังหวัดสุรินทร์,
36,อุทยานแห่งชาติ,ภูกระดึง,อำเภอภูกระดึง จังหวัดเลย,74-79
37,เขตรักษาพันธุ์สัตว์ป่า,ภูหลวง,อำเภอด่านซ้าย อำเภอท่าลี่ อำเภอภูหลวง อำเภอวังสะพุง อำเภอภูเรือ จังหวัดเลย/ อำเภอหล่มเก่า จังหวัดเพชรบูรณ์,141.0
38,เขตห้ามล่าสัตว์ป่า,ดงค้อ,อำเภอภูหลวง จังหวัดเลย/ อำเภอน้ำหนาว จังหวัดเพชรบูรณ์,
39,เขตรักษาพันธุ์สัตว์ป่า,ภูค้อ-ภูกระแต,อำเภอผาขาว อำเภอภูกระดึง อำเภอภูหลวง อำเภอหนองหิน จังหวัดเลย/ อำเภอศรีบุญเรือง จังหวัดหนองบัวลำภู/ อำเภอสีชมพู จังหวัดขอนแก่น,45.0
40,อุทยานแห่งชาติ,น้ำหนาว,อำเภอน้ำหนาว จังหวัดเพชรบูรณ์,49.0
41,เขตรักษาพันธุ์สัตว์ป่า,ภูเขียว,อำเภอคอนสาร จังหวัดชัยภูมิ,145.0
42,อุทยานแห่งชาติ,ตาดหมอก,อำเภอเมืองเพชรบูรณ์ จังหวัดเพชรบูรณ์,40.0
43,เขตรักษาพันธุ์สัตว์ป่า,ตะเบาะ-ห้วยใหญ่,อำเภอเมืองเพชรบูรณ์ อำเภอหนองไผ่ อำเภอบึงสามพัน จังหวัดเพชรบูรณ์/ อำเภอภักดีชุมพล อำเภอหนองบัวแดง จังหวัดชัยภูมิ,30.0
44,เขตรักษาพันธุ์สัตว์ป่า,ภูผาแดง,อำเภอหล่มสัก จังหวัดเพชรบูรณ์,22.0
45,เขตรักษาพันธุ์สัตว์ป่า,ผาผึ้ง,อำเภอคอนสาร จังหวัดชัยภูมิ,30.0
46,อุทยานแห่งชาติ,ไทรทอง,อำเภอหนองบัวระเหว อำเภอเทพสถิต อำเภอภักดีชุมพล อำเภอหนองบัวแดง จังหวัดชัยภูมิ,57.0
47,อุทยานแห่งชาติ,ป่าหินงาม,อำเภอเทพสถิต อำเภอซับใหญ่ จังหวัดชัยภูมิ,
48,เขตรักษาพันธุ์สัตว์ป่า,ซับลังกา,อำเภอเทพสถิต อำเภอภักดีชุมพล จังหวัดชัยภูมิ/ อำเภอลำสนธิ จังหวัดลพบุรี/ อำเภอวิเชียรบุรี จังหวัดเพชรบูรณ์,
49,อุทยานแห่งชาติ,ห้วยน้ำดัง,อำเภอแม่แตง อำเภอเชียงดาว อำเภอเวียงแหง จังหวัดเชียงใหม่/ อำเภอปาย จังหวัดแม่ฮ่องสอน,10-12
50,เขตรักษาพันธุ์สัตว์ป่า,สันปันแดน ,อำเภอปางมะผ้า จังหวัดแม่ฮ่องสอน,
51,เขตรักษาพันธุ์สัตว์ป่า,แม่เลา-แม่แสะ,อำเภอแม่แตง จังหวัดเชียงใหม่/ อำเภอปาย จังหวัดแม่ฮ่องสอน,1-2
52,เขตรักษาพันธุ์สัตว์ป่า,ดอยผาเมือง,"อำเภอห้างฉัตร อำเภอเสริมงาม จังหวัดลำปาง/ อำเภอแม่ทา อำเภอบ้านโฮ่ง อำเภอลี้
 จังหวัดลำพูน",41.0
53,อุทยานแห่งชาติ,ดอยภูคา,อำเภอปัว อำเภอท่าวังผา อำเภอทุ่งช้าง อำเภอเชียงกลาง อำเภอบ่อเกลือ อำเภอสันติสุข อำเภอเฉลิมพระเกียรติ อำเภอแม่จริม จังหวัดน่าน,65-70
54,อุทยานแห่งชาติ,แม่จริม,อำเภอแม่จริม อำเภอเวียงสา จังหวัดน่าน ,
55,เขตห้ามล่าสัตว์ป่า,ภูสันเขียว,อำเภอบ้านโคก จังหวัดอุตรดิตถ์,
56,อุทยานแห่งชาติ,ขุนพะวอ,อำเภอแม่ระมาด อำเภอแม่สอด จังหวัดตาก,
57,เขตรักษาพันธุ์สัตว์ป่า,แม่ตื่น,อำเภอแม่ระมาด อำเภอสามเงา จังหวัดตาก,
58,เขตรักษาพันธุ์สัตว์ป่า,อมก๋อย,อำเภออมก๋อย อำเภอดอยเต่า จังหวัดเชียงใหม่/ อำเภอสามเงา จังหวัดตาก,
59,อุทยานแห่งชาติ,แม่ปิง,อำเภอดอยเต่า จังหวัดเชียงใหม่/ อำเภอลี้ จังหวัดลำพูน/ อำเภอสามเงา จังหวัดตาก,5-10
60,เขตห้ามล่าสัตว์ป่า,นันทบุรี,อำเภออมก๋อย  จังหวัดเชียงใหม่,5.0
61,อุทยานแห่งชาติ,ทุ่งแสลงหลวง,อำเภอวังทอง อำเภอนครไทย อำเภอเนินมะปราง จังหวัดพิษณุโลก/ อำเภอเขาค้อ อำเภอวังโป่ง จังหวัดเพชรบูรณ์,90-100
62,อุทยานแห่งชาติ,เขาค้อ,อำเภอหล่มเก่า อำเภอหล่มสัก อำเภอเขาค้อ อำเภอเมืองเพชรบูรณ์ จังหวัดเพชรบูรณ์,
63,เขตห้ามล่าสัตว์ป่า,วังโป่ง-ชนแดน,อำเภอวังโป่ง อำเภอชนแดน อำเภอเมืองเพชรบูรณ์ จังหวัดเพชรบูรณ์,
64,เขตห้ามล่าสัตว์ป่า,เขาค้อ,อำเภอเขาค้อ. อำเภอหล่มสัก จังหวัดเพชรบูรณ์,
65,เขตรักษาพันธุ์สัตว์ป่า,ภูเมี่ยงและภูทอง,อําเภอทองแสนขัน อําเภอน้ำปาด จังหวัดอุตรดิตถ์/ อําเภอชาติตระการ จังหวัดพิษณุโลก,10.0
66,อุทยานแห่งชาติ,ภูพาน,อำเภอพรรณานิคม อำเภอเมือง อำเภอกุดบาก อำเภอภูพาน จังหวัดสกลนคร/ อำเภอสมเด็จ อำเภอห้วยผึ้ง จังหวัดกาฬสินธุ์ ,2.0
67,เขตรักษาพันธุ์สัตว์ป่า,ภูวัว,อำเภอเซกา อำเภอบึงโขงหลง อำเภอบุ่งคล้า อำเภอเมืองบึงกาฬ จังหวัดบึงกาฬ,46-55
68,เขตรักษาพันธุ์สัตว์ป่า,บุญฑริก-ยอดมน,อำเภอบุณฑริก อำเภอสิรินธร จังหวัดอุบลราชธานี,30-35
69,อุทยานแห่งชาติ,น้ำตกหงาว,อำเภอกระบุรี อำเภอละอุ่น จังหวัดระนอง/ อำเภอสวี จังหวัดชุมพร,20-25
70,เขตรักษาพันธุ์สัตว์ป่า,ทุ่งระยะ-นาสัก,อำเภอกระบุรี จังหวัดระนอง/ อำเภอสวี อำเภอเมืองชุมพร จังหวัดชุมพร,6.0
71,เขตรักษาพันธุ์สัตว์ป่า,อุทยานเสด็จในกรม กรมหลวงชุมพร ด้านทิศเหนือ (ตอนบน),อำเภอบางสะพาน อำเภอบางสะพานน้อย จังหวัดประจวบคีรีขันธ์,100.0
72,เขตรักษาพันธุ์สัตว์ป่า,อุทยานเสด็จในกรม กรมหลวงชุมพร ด้านทิศเหนือ (ตอนล่าง),อำเภอท่าแซะ จังหวัดชุมพร,
73,เขตรักษาพันธุ์สัตว์ป่า,อุทยานเสด็จในกรม กรมหลวงชุมพร ด้านทิศใต้,อำเภอท่าแซะ จังหวัดชุมพร/ อำเภอกระบุรี จังหวัดระนอง,
74,เขตรักษาพันธุ์สัตว์ป่า,คลองแสง,อำเภอคีรีรัฐนิคม อำเภอบ้านตาขุน จังหวัดสุราษฎร์ธานี,
75,อุทยานแห่งชาติ,แก่งกรุง,อำเภอท่าชนะ อำเภอไชยา อำเภอท่าฉาง อำเภอวิภาวดี จังหวัดสุราษฎร์ธานี,150.0
