_id,พื้นที่รับผิดชอบ,สถานะ,วันที่,เพศ,กลุ่มป่า,พื้นที่,หมู่บ้าน,หมู่ที่,ตำบล,อำเภอ,จังหวัด,หมายเหตุ
28,เขตรักษาพันธุ์สัตว์ป่าเขาอ่างฤาไน,เสียชีวิต,9 เมษายน 2567,ชาย,ตะวันออก,,หนองปรือกันยาง,5,ท่าตะเกียบ,ท่าตะเกียบ,ฉะเชิงเทรา,
29,เขตรักษาพันธุ์สัตว์ป่าเขาอ่างฤาไน,เสียชีวิต,14 เมษายน 2567,ชาย,ตะวันออก,,,,ท่ากระดาน,สนามชัยเขต,ฉะเชิงเทรา,
30,เขตรักษาพันธุ์สัตว์ป่าเขาอ่างฤาไน,เสียชีวิต,15 พฤษภาคม 2567,ชาย,ตะวันออก,แนวคูกันช้าง ,บ้านนางาม,19,ท่ากระดาน,สนามชัยเขต,ฉะเชิงเทรา,
31,อุทยานแห่งชาติน้ำหนาว,เสียชีวิต,4 มิถุนายน 2567,ชาย,ภูเขียว-น้ำหนาว,,,,โคกมน,น้ำหนาว,เพชรบูรณ์,
32,เขตรักษาพันธุ์สัตว์ป่าเขาอ่างฤาไน,เสียชีวิต,18 มิถุนายน 2567,หญิง,ตะวันออก,สวนยางพารา,คลองครก,10,พวา,แก่งหางแมว,จันทบุรี,ชาวกัมพูชา
33,เขตรักษาพันธุ์สัตว์ป่าเขาอ่างฤาไน,เสียชีวิต,16 กรกฎาคม 2567,ชาย,ตะวันออก,สวนยางพารา,,7,ท่าตะเกียบ,ท่าตะเกียบ,ฉะเชิงเทรา,
34,เขตรักษาพันธุ์สัตว์ป่าเขาอ่างฤาไน,เสียชีวิต,14 สิงหาคม 2567,ชาย,ตะวันออก,สวนยางพารา,,7,เขาแก้ว,ท่าใหม่,จันทบุรี,
35,เขตรักษาพันธุ์สัตว์ป่าสลักพระ,เสียชีวิต,16 สิงหาคม 2567,ชาย,ตะวันตก,ป่าไผ่ใกล้อ่างเก็บน้ำเขื่อนศรีนครินทร์,,5,ด่านแม่แฉลบ,ศรีสวัสดิ์,กาญจนบุรี,
36,เขตรักษาพันธุ์สัตว์ป่าสลักพระ,เสียชีวิต,26 สิงหาคม 2567,ชาย,ตะวันตก,พื้นที่ป่า,,,หนองรี,บ่อพลอย,กาญจนบุรี,
37,เขตรักษาพันธุ์สัตว์ป่าเขาอ่างฤาไน,เสียชีวิต,31 สิงหาคม 2567,ชาย,ตะวันออก,สวนยางพารา,,,คลองพลู,หนองใหญ่,ชลบุรี,
38,อุทยานแห่งชาติเขาใหญ่,เสียชีวิต,6 กันยายน 2567,ชาย,ดงพญาเย็น-เขาใหญ่,บริเวณบ้านพักผู้ตาย,,,สาริกา,เมืองนครนายก,นครนายก,
39,เขตรักษาพันธุ์สัตว์ป่าสลักพระ,เสียชีวิต,13 กันยายน 2567,ชาย,ตะวันตก,บนถนนหลวง 3199,,,ท่ากระดาน,ศรีสวัสดิ์,กาญจนบุรี,
